nid,bib_number,title,year,publication,members,creator_1_name,creator_1_lcsh,creator_1_relator,creator_1_relator_old,creator_2_name,creator_2_lcsh,creator_2_relator,creator_2_relator_old,subjects,subjects_old,aps_subjects,aps_subjects_old,record_source,editions,editions_note,holding_note,references,external_permalink,external_permalink_old,aps_permalink,nid_old,created_by,admin_notes,needs_remediation
5017,319.009,Questions adapted to Williams' History of the American Revolution : for the use of schools.,1827.,Stonington [Conn.]: Printed by the author,4372,"Williams, Samuel, 1743-1817",n85247731,Contributor,Contributor,,,,,,,,,WC,1x 1827 (Stonington [CT]),One edition.,,,http://www.worldcat.org/oclc/30839554,http://www.worldcat.org/oclc/30839554,,28472,JA,,
5018,319.010,"Regeneration the most important concern, with directions, motives, and encouragement from the Holy Scriptures, to strive to enter in at the strait gate : represented and urged in two sermons on Luke XIII. 23, 24, 25.",1766.,"Boston, New-England: Printed by Thomas and John Fleet",4372,"Williams, Samuel, 1743-1817",n85247731,Author,Author,,,,,2343,2343,,,ESTC,1x 1766 (Boston),One edition.,,Evans 10523,https://datb.cerl.org/estc/W21707,http://estc.bl.uk/W21707,,28474,JA,,
5019,319.011,"The rural magazine : or, Vermont repository.",1795.,"Rutland [VT]: printed by J. Kirkaldie, for S. Williams, & Co. A few rods north of the State-House",4372,"Williams, Samuel, 1743-1817",n85247731,Author|Editor,Author and Editor,,,,,1739|2912|1508|2823|2888,2912|2823|1508|1739|2888,,,ESTC,1x 1795 (Rutland [VT]),"One edition. As ESTC notes, ""Evans reports that the editor of this journal was Samuel Williams, LLD, (1743-1817). MWA reports two people of this name as printers in Rutland, Vt. during the 1790s. It is not clear which Samuel Williams was the publisher.""",,Evans 29450|Evans 31141,https://datb.cerl.org/estc/P6636,http://estc.bl.uk/P6636,,28480,JA,,
5020,319.012,"A sermon, preached January 13, 1773, at the ordination of the Reverend Mr. Thomas Barnard, Jun. to the pastoral care of the North Church in Salem : By Samuel Williams, A.M. Pastor of the First Church in Bradford : printed by the desire of the North Church and congregation.",1773.,"Salem [Mass.], New-England: Printed by Samuel and Ebenezer Hall",4372,"Williams, Samuel, 1743-1817",n85247731,Author,Author,,,,,,,,,ESTC,1x 1773 (Salem [MA]),One edition.,,Evans 13082,https://datb.cerl.org/estc/W29353,http://estc.bl.uk/W29353,,28481,JA,,
5022,319.014,"The Vermont almanac, and register, for the year of our Lord 1795, being the third after leap-year, and the nineteenth of the independence of America : fitted to the latitude and longitude of Rutland, latitude 43⁰ 21' north. Longitude 2 [degrees] 9 [minutes] east of Philadelphia.",[1794],"[Windsor] Vermont: printed, and sold wholesale and retail, by Alden Spooner, at his printing-office in Windsor",4372,"Williams, Samuel, 1743-1817",n85247731,Author,Author,,,,,211|2985,211|2985,,,ESTC,"1x 1794 ([Windsor,] VT), 1x 1795 ([Rutland], VT), 1x 1796 (Rutland, VT), 1x 1797 (Rutland, VT), 1x 1798 (Rutland, VT), 1x 1799 (Rutland, VT)","Six editions of this yearly almanac from 1794 to 1800. As ESTC notes: ""Advertised in Spooner's Vermont journal, Windsor, for Nov. 3, 1794. As reprinted in the Nov. 10 issue, the advertisement was amplified to read: ""Now ready for sale at this office, and by Dr. Samuel Williams, of Rutland."" Also advertised in the Rutland herald, vol. 1, no. 1, Dec. 8, 1794, edited by Williams. Attributed by Evans to Levi Hackley, but more probably by Williams, to whom the Vermont almanac and register for 1796 (Rutland) are also ascribed. The similarities between the calendar pages, eclipse notes, and wording of the title pages of that series and those of the presen almanac suggest Williams' authorship, as does Williams' residence in Rutland, for which vicinity the almanac is calculated. Hackley at this period was conducting a school in Bennington (cf. Proceedings of the Vermont Historical Society, n.s., v. 4 (1936): 139, 142)."" In the entry for the 1796 edition ESTC further writes: ""Evans later attribution is echoed Authorship attributed by Evans to Samuel Williams, who was an astronomer and mathematician formerly on the faculty of Harvard. According to Clifford K. Shipton, in Sibley's Harvard graduates, he ""published the Vermont almanac and register in 1796-1800."" - Advertised in the Rutland herald for Dec. 31, 1798. From Sept. 17, 1798, to Oct. 1799, the Herald imprint read: Printed .. by John Walker, Jun. for S. Williams.""",,Evans 27079,https://datb.cerl.org/estc/W16848,http://estc.bl.uk/W16848,,28484,JA,,
6885,81.001,"A discourse on the benefits of civil history : delivered before the New York Historical Society, December 6, 1810.",1810.,New York: s.n.,4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,1345,1345,36,36,AAS,1x 1810,One edition.,APS has one copy.,Shaw-Shoemaker 22063,https://catalog.mwa.org/vwebv/holdingsInfo?searchId=1002&recCount=10&recPointer…,https://catalog.mwa.org/vwebv/holdingsInfo?searchId=1002&recCount=10&recPointer…,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=201237,21202,JF,,
6884,81.002,The history of North Carolina.,1812.,"Philadelphia: Published by Thomas Dobson, At the Stone House, no. 41, South street. Fry and Kammerer, printers",4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,1987,1987,36,36,LCP,1x 1812,One edition.,,Sabin 104449|Howes W 494,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-detail.pl?biblionumber=34485,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-search.pl?idx=control-number&q=000077498,,21204,JF,,
6883,81.003,Letters from Sylvius to the freemen inhabitants of the United States : containing some remarks on the scarcity of money; paper currency; national dress; foreign luxuries; the foederal [sic] debt; and public taxes.,[1787],"New York: Printed by Carroll & Patterson, no. 16, Water-Street",4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,2701|727|2053,727|2053|2701,21,21,ESTC,1x 1787,One edition.,,Sabin 104450|Evans 20887,https://datb.cerl.org/estc/W15462,http://estc.bl.uk/W15462,,21208,JF,,
6882,81.004,"Observations on the climate in different parts of America, compared with the climate in corresponding parts of the other continent : to which are added, remarks on the different complexions of the human race; with some account of the aborigines of America : being an introductory discourse to The history of North-Carolina.",1811.,"New York: Printed and sold by T. & J. Swords, No. 160 Pearl-street",4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,214|1370|407|1403,1403|1370|407|214,33|63|31|50|36|58,33|36|38|49|50|58|63,LCP,1x 1811,One edition.,"APS has one copy, presented by John Vaughan.",Sabin 104451|Shaw-Shoemaker 124459|Howes W 495,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-detail.pl?biblionumber=34486,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-search.pl?idx=control-number&q=000035726,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=112771,21214,JF,,
6881,81.005,"The plain dealer : numb. II. being a tickler, for the leisure hour's amusement of the author of cool thoughts : wherein the force of his several arguments in favour of a change of government is stated in a clear light and accomodated [sic] to the comprehension of readers of every capacity : by X.Y.Z. gentleman : to be continued.",1764.,"Philadelphia: Printed [by A. Steuart] in Second-street, where numb. I. may be had",4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,1164|2085,1164|2085,60|3,3|60,NYPL,1x 1764,One edition. The NYPL records suggests that Williamson may not have been the author.,,Sabin 63213|Sabin 104453|Evans 9877,https://catalog.nypl.org/record=b14538820~S1,https://catalog.nypl.org/record=b14538820~S1,,21217,JF,,
6880,81.006,"The plain dealer : or, a few remarks upon Quaker-politicks, and their attempts to change the government of Pennsylvania : with some observations on the false and abusive papers which they have lately publish’d : numb. I : to be continued.",[1764],Philadelphia: Printed [by Andrew Steuart],4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,2550|2316|2103,2316|2550|2103,60|3,3|60,ESTC,2x 1764,"Two editions, both published in Philadelphia in 1764. The second edition bears the slightly different title, The plain dealer; numb. I : or a few remarks upon Quaker-politics, and their attempts to change the government of Pennsylvania...",,Sabin 104452|Sabin 104453|Evans 9875|Evans 9876,https://datb.cerl.org/estc/W15464,http://estc.bl.uk/W15464,,21220,JF,,
6879,81.007,"The plain dealer : or, remarks on Quaker politicks in Pennsylvania : numb. III : to be continued.",[1764],Philadelphia: Printed [by William Dunlap],4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,2316|125|261|2561|2103,2561|2316|261|2103|125,60|3,3|60,APS,1x 1764,One edition.,APS has two copies.,Evans  9878|Sabin 104453,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=168365,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=168365,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=168365,21222,JF,,
6878,81.008,"The plea of the colonies, on the charges brought against them by Lord M-------d, and others, in a letter to his lordship.",1775.,London: Printed for J. Almon,4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,,,60|3,3|60,ESTC,"1x 1775 (London), 1x 1776 (London), 1x 1777 (Philadelphia)","Three editions: one in 1775 (London), one in 1776 (London), and one in 1777 (Philadelphia). In the 1777 edition, the title includes the entire name of Lord Mansfield.",APS has one copy of the 1777 edition.,Sabin 63401|Sabin 63402|Evans 15713|Howes W 497,https://datb.cerl.org/estc/T42463,http://estc.bl.uk/T42463,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=28788,21223,JF,,
6877,81.009,"Remarks on the importance of the contemplated grand canal, between Lake Erie and the Hudson River.",1812.,[S.l.],4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,983,983,16|68,16|68,HUNT,1x 1812,"One edition. Per Sabin, marginalia in a copy housed at the New York Historical Society attributes the text to Williamson, but his authorship remains disputed.","One edition. Per Sabin, marginalia in a copy housed at the New York Historical Society attributes the text to Williamson, but his authorship remains disputed.",Sabin 104454|Shaw-Shoemaker 26370|Howes W 496,https://catalog.huntington.org/record=b1533656,https://catalog.huntington.org/record=b1533656,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=127738,21225,JF,,
6916,81.010,"What is sauce for a goose is also sauce for a gander : being a small touch in the lapidary way : or tit for tat, in your own way : an epitaph on a certain great man : written by a departed spirit and now most humbly inscrib’d to all his dutiful sons and children, who may hereafter chose to distinguish him by the name of a patriot.",1764,Philadelphia: Printed [by Anthony Armbruster] in Arch-Street,4603,"Williamson, Hugh, 1735-1819",n84804806,Author,Author,,,,,1156,1156,,,ESTC,2x 1764,"Two editions published in 1764, both in Philadelphia. Satirical epitaph on Benjamin Franklin.",APS has one copy.,Sabin 104455|Evans 9879,https://datb.cerl.org/estc/W15611,http://estc.bl.uk/W15611,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=178358,21138,JF,,
6937,66.005,"Sermons, by John Ewing, D.D. late pastor of the First Presbyterian Congregation in the city of Philadelphia : selected from his manuscripts by the Rev. James P. Wilson, of the city of Philadelphia, D.D. ; to which is prefixed, a life of the author.",1812.,"Easton, PA: Printed by Thomas J. Rogers",4639,"Wilson, James P. (James Patriot), 1769-1830",n89648602,Editor,Editor,"Ewing, John, 1732-1802",n88023531,Author,Author,1002,1002,62,62,AAS,1x 1812,One edition.,,Shaw-Shoemaker 25375,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=296868,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=296868,,19491,AM,,
