nid,nid_old,heading,changed_from
325,325,Awards--France,
326,326,Baccalaureate addresses--Pennsylvania--Philadelphia--18th century,
327,327,Baccalaureate addresses--Yale College (1718-1887),
328,328,Balance of power,
330,330,Balloon ascensions,
329,329,Balloon ascensions--France,
332,332,Balloonists,
331,331,Balloonists--Biography,
333,333,Balloons,
334,334,Baltimore Baptist Association,
335,335,Bananas,
338,338,Bandages and bandaging,
337,337,Bandages and bandaging--Early works to 1800,
336,336,Bandages--statistics & numerical data,
339,339,Bank of North America,
340,340,Bank of the United States (1816-1836),
341,341,Bankruptcy--Early works to 1800,
349,349,"Banks, Joseph, 1743-1820",
347,347|348,Banks and banking,
344,344,"Banks and banking, France, Early works to 1800",
345,345,"Banks and banking, France, History, 18th century",
342,342|346,Banks and banking--France,
343,343,Banks and banking--United States,
351,351,Baptism,
350,350,Baptism--Episcopal Church,
353,353,Baptist associations,
352,352,Baptist associations--Maryland,
354,354,Baptists--Sermons,
358,358|359,"Barbé-Marbois, François, marquis de, 1745-1837",
356,356,Barbering,
355,355,Barbering--France--Paris--18th century,
357,357,Barbers--Training of--France--Paris--18th century,
360,360,Barometers--Early works to 1800,
361,361,Barometric hypsometry--Early works to 1800,
363,363,"Bartram, John, 1699-1777",
362,362,"Bartram's Garden (Philadelphia, Pennsylvania)",
364,364,"Baths, Cold",
365,365,Bees--Early works to 1800,
367,367,"Behrens, Albrecht, -1797",
366,366,"Behrens, Albrecht, -1797--Estate",
368,368,"Beissel, Conrad, 1690-1768",
369,369,"Belknap, Jeremy, 1744-1798",
380,380,"Bible. Acts, XIII, 2--Sermons--Early works to 1800",
381,381,"Bible. Acts, XVII, 27--Sermons--Early works to 1800",
382,382,"Bible. John, VIII, 32--Sermons--Early works to 1800",
383,383,"Bible. Luke, XIII, 18, 19--Sermons",
384,384,"Bible. Matthew, XII, 39--Sermons--Early works to 1800",
385,385,"Bible. Matthew, XXII, 21--Sermons--Early works to 1800",
386,386,"Bible. Matthew, XXIV, 6-8--Sermons--Early works to 1800",
