nid,nid_old,heading,changed_from
934,934,English language--Grammar--1500-1800,
935,935,English language--Grammar--Early works to 1800,
937,937,English language--Rhetoric--1500-1800,
939,939,"English Lutheran Church (New York, New York)",
942,942,English poetry,
940,940,English poetry--18th century,
941,941,English poetry--Collections--18th century,
947,947,Ephemerides,
1014,1014,Éphémérides (Astronomie)--Ouvrages avant 1800,
946,946,Ephemerides--Early works to 1800,
948,948,Ephrata Cloister,
949,949,Epidemics--Early works to 1800,
950,950,Epidemics--Spain--Minorca,
951,951,Epidemics--Virginia,
953,953,Epiphany,
952,952,Epiphany music,
955,955,Episcopacy,
954,954,Episcopacy--Early works to 1800,
970,970|971,Episcopal Church,
972,972,Episcopal Church. Catechism (1790),
973,973,Episcopal Church. Diocese of Pennsylvania,
957,957,Episcopal Church--Clergy,
956,956,"Episcopal Church--Clergy--Appointment, call, and election",
958,958,Episcopal Church--Controversial literature,
959,959,Episcopal Church--Customs and practices,
960,960|969,Episcopal Church--Doctrines,
961,961,Episcopal Church--History,
962,962,Episcopal Church--Maryland--Bishops,
964,964,Episcopal Church--Maryland--Clergy,
963,963,"Episcopal Church--Maryland--Clergy--Appointment, call, and election",
966,966,Episcopal Church--Missions,
965,965,Episcopal Church--Missions--Sermons,
967,967,Episcopal Church--Pastoral letters and charges,
968,968,Episcopal Church--Sermons,
974,974,Episcopalians--Delaware,
975,975,Episcopalians--Kentucky,
976,976,Episcopalians--Ohio,
977,977,Episcopalians--Pennsylvania--Philadelphia,
978,978,"Epistolary poetry, Latin--Early works to 1800",
979,979,Epitaphs--England,
980,980,Equity pleading and procedure--Maryland--Early works to 1800,
981,981,Equity pleading and procedure--New York (State),
982,982,Ergot,
983,983,Erie Canal (NY),
985,985,Errata,
984,984,Errata lists (Printing)--Spain--Madrid--1747,
987,987,Ethics,
986,986,Ethics--Early works to 1800,
988,988,EtimologiÌa,
1015,1015,Étiologie--Ouvrages avant 1800,
989,989,Eudiometers,
991,991,Eulogies,
990,990,Eulogies--United States,
992,992,Eulogy,
998,998|999,Europe,
994,994,Europe--Cartography--Early works to 1800,
995,995,Europe--Commerce--18th century,
996,996,Europe--History--1789-1815,
997,997,Europe--Parma and Piacenza (Duchy),
993,993,Euro Tracts--1786,
1000,1000,"Evangelical Lutheran Church (York, Pa.)",
1002,1002,"Ewing, John, 1732-1802",
1001,1001,"Ewing, John, 1732-1802--Portraits",
1004,1004,Excise tax,
1003,1003,Excise tax--Ireland--Tables,
1005,1005,Excommunication--Quakers,
1007,1007,Executions and executioners--Massachusetts,
1006,1006,Executions and executioners--Massachusetts--Boston,
1008,1008,Exile (Punishment),
1009,1009,Exile (Punishment)--French Guiana--Sinnamary,
1010,1010|1011,Exiles,
1012,1012,"Expenditures, Public",
1013,1013,Experiments,
89,89,"Eye, Accommodation and refraction",
90,90,"Eye, Accommodation and refraction, Early works to 1800",
1016,1016,Faith,
1017,1017,Fall of man,
1018,1018,Family--Prayers and devotions,
1019,1019,Farewell sermons,
1020,1020,Farm buildings,
1021,1021,Farm management--United States,
1022,1022,Farnese family,
1024,1024,Fast-day sermons,
1023,1023,Fast-day sermons--Massachusetts--Early works to 1800,
1025,1025,Fathers of the church,
1026,1026,Feast of the Holy Innocents,
1037,1037,Fécondation,
1027,1027,Feeds--Sweden--Early works to 1800,
1028,1028,Female Bible Society of Philadelphia,
1029,1029,Fertilization,
1030,1030|1031,Fertilization (Biology),
1032,1032,Fertilization of plants,
1034,1034|1035|1036,Fever,
1033,1033,Fever--Early works to 1800,
1038,1038,Fiction (German),
1039,1039,Fiefs--Economic aspects--France,
1042,1042,Field crops,
1040,1040,Field crops--England,
1041,1041,Field crops--Maryland,
1043,1043,Fillet tools (Binding),
1063,1063|1064,Finance,
1061,1061|1062,"Finance, Public",
1059,1059,"Finance, Public, France, History, To 1789",
1051,1051|1052|1060,"Finance, Public--France",
1047,1047|1050|1058,"Finance, Public--France--Early works to 1800",
1053,1053,"Finance, Public--Great Britain--History--1688-1815",
1054,1054|1055,"Finance, Public--Maryland",
1056,1056,"Finance, Public--Pennsylvania",
1057,1057,"Finance, Public--United States--History--To 1789",
1044,1044,Finance--France--History--18th century--Sources,
1046,1046,Finance--Great Britain,
1045,1045,Finance--Great Britain--History,
1049,1049,Finance--United States,
1048,1048,Finance--United States--History,
1065,1065,Fines (Penalties)--Maryland,
1067,1067,Fireplaces,
1066,1066,Fire prevention,
1068,1068,Fireproofing,
1069,1069,Fires--Casualties,
1070,1070,"First Baptist Church (Charlestown, Boston, Mass.)",
1071,1071,"First Coalition, War of the, 1792-1797--Peace",
1072,1072,"First Congregational Church (Hamilton, Mass.)",
1073,1073,Fiscal policy--France,
1074,1074,Fisheries--Economic aspects--New England,
1075,1075,Fisheries--United States,
1076,1076,Fishery policy,
1081,1081,Florida,
1079,1079|1080,Florida--Description and travel,
1077,1077,Florida--Description and travel--1783-1848,
1078,1078,Florida--Description and travel--Early works to 1800,
1082,1082,"Flower, Samuel, -1769 or 1770--Estate",
1083,1083,"Flower, Samuel, d. 1769 or 70?--Estate",
74,74,Fluid mechanics--Early works to 1800,
1084,1084,Food habits,
1085,1085,Food supply--Law and legislation--Spain,
1088,1088,Foreign exchange,
1086,1086,"Foreign exchange--Tables, etc",
1087,1087,Foreign exchange--United States,
1089,1089,Foreign trade regulation--Ireland--Early works to 1800,
7881,7881,Forests and forestry,
1090,1090,Forgiveness of sin,
1093,1093,Fortification,
1092,1092,"Fortification, Field",
1091,1091,Fortification--South Carolina,
1094,1094,Fourth of July celebrations--Pennsylvania--Philadelphia--Early works to 1800,
1095,1095,"Fox, Charles James, 1749-1806",
1096,1096,Fractures,
1149,1149|1150,France,
1151,1151,France. Armée--Drill and tactics--Early works to 1800,
1152,1152,France. Ferme générale,
1153,1153,France. Trésorerie nationale,
1097,1097,France--Angoulême,
1098,1098,France--Civilization--18th century,
1099,1099,France--Civilization--Biography,
1101,1101,France--Colonies--America,
1100,1100,France--Colonies--America--Administration--Early works to 1800,
1102,1102,France--Economic conditions,
1103,1103,France--epidemiology,
1104,1104,France--Foreign relations--1589-1789,
1105,1105,France--Foreign relations--Austria,
1106,1106,France--Foreign relations--Haiti,
1107,1107,France--Foreign relations--Poland,
1108,1108,France--Foreign relations--Switzerland,
1109,1109,France--Foreign relations--United States,
1110,1110,France--History--1799-1900,
1111,1111|1112,"France--History--Directory, 1795-1799",
1113,1113,France--History--Louis XV--1715-1774,
1114,1114|1115,"France--History--Louis XVI, 1774-1793",
1116,1116,France--History--Reign of Terror--1793-1794,
1118,1118|1128|1129|1148,"France--History--Revolution, 1789-1799",
1119,1119,"France--History--Revolution, 1789-1799--Economic aspects--Sources",
1120,1120,"France--History--Revolution, 1789-1799--Education and the revolution",
1121,1121,"France--History--Revolution, 1789-1799--Personal narratives",
1122,1122,"France--History--Revolution, 1789-1799--Refugees",
1124,1124,"France--History--Revolution, 1789-1799--Religious aspects",
1123,1123,"France--History--Revolution, 1789-1799--Religious aspects--Sources",
1125,1125,"France--History--Revolution, 1789-1799--Songs and music",
1126,1126|1127,"France--History--Revolution, 1789-1799--Sources",
1117,1117,France--History--Revolution--1789-1799--Finance,
1130,1130,"France--History--Wars of the Huguenots, 1562-1598",
1131,1131,France--Orléanais,
1133,1133|1134,France--Paris,
1132,1132,France--Paris Suburban Area,
1140,1140|1141,France--Politics and government,
1135,1135,France--Politics and government--1774-1793,
1144,1144|1137,France--Politics and government--1789-1799,
1136,1136,France--Politics and government--1789-1799--Sources,
1145,1145,France Politics and government 1799-1815,
1138,1138|1139,France--Politics and government--1814-1830,
1146,1146,France Politique et gouvernement 1789-1799,
1147,1147,France Politique et gouvernement 1799-1815,
1142,1142,France--Relations--United States--1775-1783--Early works to 1800,
1143,1143,France--Religion,
1163,1163,"Franklin, Benjamin, 1706-1790",
1164,1164,"Franklin, Benjamin, 1706-1790. Cool thoughts on the present situation of publick affairs",
1165,1165,"Franklin, Benjamin, 1706-1790. Information to those who would remove to America",
1166,1166,"Franklin, Benjamin, 1706-1790. Remarks on a late protest against the appointment of Mr. Franklin an agent for this province",
1156,1156,"Franklin, Benjamin, 1706-1790--Anecdotes",
1157,1157,"Franklin, Benjamin, 1706-1790--Biography",
1158,1158,"Franklin, Benjamin, 1706-1790--Death and burial",
1159,1159,"Franklin, Benjamin, 1706-1790--Eulogies",
1160,1160,"Franklin, Benjamin, 1706-1790--Imprints",
1161,1161,"Franklin, Benjamin, 1706-1790--Library",
1162,1162,"Franklin, Benjamin, 1706-1790--Songs and music",
1154,1154,Franklin and Marshall College,
1155,1155,"Franklin College (Lancaster, Pa.)",
1167,1167,Fraternal organizations--Pennsylvania,
1177,1177,Freedom of religion,
1171,1171,Freedom of religion--Early works to 1800,
1173,1173,Freedom of religion--Pennsylvania,
1172,1172,Freedom of religion--Pennsylvania--Early works to 1800,
1175,1175,Freedom of religion--United States,
1174,1174,Freedom of religion--United States--Early works to 1800,
1176,1176,Freedom of religion--Virginia,
1180,1180,Freedom of the press,
1178,1178,Freedom of the press--New York (State)--New York,
1179,1179,Freedom of the press--Pennsylvania--Early works to 1800,
1181,1181,Freemasonry,
1182,1182,Freemasons,
1168,1168,Free trade,
1170,1170,Free will and determinism,
1169,1169,Free will and determinism--Early works to 1800,
1184,1184,French and Indian War (United States: 1754-1763),
1185,1185|1186,French colonies,
1191,1191|1192,French Guiana,
1187,1187|1188,French Guiana--Exiles,
1189,1189,French Guiana--History--To 1814,
1190,1190,French Guiana--Sinnamary,
1194,1194,French language,
1193,1193,French language--Dictionaries--Latin,
1183,1183,French--Pennsylvania,
1195,1195,Frictional resistance (Hydrodynamics)--Measurement,
1196,1196,Border life--Poetry,Frontier and pioneer life--Poetry
1198,1198,Fruit-culture,
1197,1197,Fruit trees,
1199,1199,Funeral addresses--1800,
1200,1200,Funeral orations,
1201,1201,Funeral rites and ceremonies,
1206,1206,Funeral sermons,
1205,1205,"Funeral sermons, English--Early works to 1800",
1202,1202,Funeral sermons--18th century,
1203,1203,Funeral sermons--Early works to 1800,
1204,1204,Funeral sermons--England--Hackney (London),
91,91,"Fungi, Early works to 1800",
1207,1207,Fur trade--New York (State) Fur trade--Canada,
1208,1208,Future life,
1209,1209,"Gabriel's Insurrection, 1800",
1210,1210,Gaging,
8004,8004,Gallstones--Early works to 1800,
1211,1211,Gardening--Dictionaries,
1212,1212,Gardening--United States,
1213,1213,Gastronomy,
1216,1216,Geodesy--Observations--Early works to 1800,
1217,1217,Geodetic astronomy--Early works to 1800,
1220,1220,Geographical positions--United States,
1223,1223,Geography,
1221,1221,Geography--Early works to 1800,
1222,1222,Geography--Poetry,
1224,1224,Geology,
8112,8112,Geology--Early works to 1800,
1225,1225,Geomagnetism,
1226,1226,"George II, King of Great Britain, 1683-1760",
1227,1227,Georgia--Description and travel,
1228,1228,"German Americans, Charities",
1229,1229,"German Americans, Pennsylvania, Societies, etc",
1231,1231,"German language, Orthography and spelling",
1232,1232,"German language, Readers",
1230,1230,German language--Dictionaries--English,
1233,1233,German Society of Pennsylvania,
1234,1234|1235,Germans--Pennsylvania,
1236,1236,Germany--Bavaria,
1237,1237,Germany--Ulm,
1238,1238,Gewapende conflicten,
1240,1240,"Gilbert, Benjamin, 1711-1780",
1239,1239,Gilbert family,
1241,1241|1242,Girls' schools,
1243,1243,Glands,
1244,1244,Glass manufacture--Chemistry,
1246,1246|1247,Globes,
1245,1245,Globes--Juvenile literature,
1250,1250,God,
1248,1248,God--Mercy,
1249,1249,God--Righteousness,
1251,1251,Gold standard,
1252,1252,Good and evil,
1253,1253,Good Friday,
1254,1254,Gotlands län (Sweden)--Description and travel,
1255,1255,Gout,
1257,1257,Government accountability,
1256,1256,Government accountability--France--Early works to 1800,
1258,1258,Government relations,
1260,1260,Government spending policy,
1259,1259,Government spending policy--France--Early works to 1800,
1265,1265,Grain,
1261,1261,Grain--Sweden,
1264,1264,Grain trade,
1262,1262,Grain trade--France,
1263,1263,Grain trade--Law and legislation,
1267,1267,Grammar,
1266,1266,"Grammar, Comparative and general",
1268,1268,Grammars,
1269,1269,Grasses--North America,
1270,1270,Gravitation,
1271,1271,Great Awakening,
1297,1297|1298,Great Britain,
1299,1299,Great Britain. Army--Colonial forces--America,
1300,1300,Great Britain. Parliament,
1301,1301,Great Britain. Parliament. House of Commons,
1302,1302|1303,Great Britain. Stamp Act (1765),
1304,1304,"Great Britain. Treaties, etc. United States, 1794 November 19",
1272,1272,Great Britain--Colonies--Administration,
1278,1278|1279,Great Britain--Colonies--America,
1273,1273|1274,Great Britain--Colonies--America--Administration,
1275,1275,Great Britain--Colonies--America--Early works to 1800,
1277,1277,Great Britain--Colonies--America--Economic policy,
1276,1276,Great Britain--Colonies--America--Economic policy--Early works to 1800,
1280,1280,Great Britain--Colonies--North America--Financial questions,
1281,1281,Great Britain--Colonies--West Indies,
1282,1282,Great Britain--Economic conditions--1760-1860,
1283,1283,Great Britain--Foreign relations--1789-1820,
1284,1284|1285,Great Britain--Foreign relations--France--Early works to 1800,
1286,1286,Great Britain--Foreign relations--Sweden,
1287,1287,Great Britain--Foreign relations--Treaties,
1289,1289,Great Britain--Foreign relations--United States,
1288,1288,Great Britain--Foreign relations--United States--Early works to 1800,
1290,1290,Great Britain--History--1789-1820--Pamphlets,
1291,1291,Great Britain--History--Revolution of 1688,
1292,1292,"Great Britain--Militia--Recruiting, enlistment, etc",
1293,1293,Great Britain--Politics and government--1727-1760,
1294,1294|1295,Great Britain--Politics and government--1760-1789,
1296,1296,Great Britain--Population,
7983,7983,"Great Britain--Statistics, Vital",
7877,7877,Greece--Antiquities,
8116,8116,Greenhouses--Heating and ventilation,
1305,1305,"Griffith, David, 1742-1789",
7976,7976,Groundwater--England--Manchester,
1306,1306,Guadeloupe--Economic conditions,
1307,1307,Guiana--Description and travel,
1308,1308,Guillotine,
92,92,"Gums and resins, Early works to 1800",
1310,1310,Gunpowder,
1309,1309,Gunpowder--Early works to 1800,
1311,1311,Hadley's quadrant--Early works to 1800,
1312,1312|1320|1321,Haiti,
1313,1313,Haiti--Description and travel,
1314,1314,Haiti--Foreign relations--France,
1315,1315,Haiti--History--1804-1844,
1316,1316|1317,"Haiti--History--Revolution, 1791-1804",
1318,1318,Haiti--History--To 1791,
1319,1319,Haiti--Port-au-Prince,
1322,1322,Hälsobrunnar,
1323,1323,Hamilton (Mass.)--Church history,
1324,1324,Harbors--Delaware River (N.Y.-Del. and N.J.),
1325,1325,Harbors--United States,
1326,1326,"Harison, Francis. To the right worshipful, the mayor, aldermen and commonalty of the city of New-York",
1327,1327,Harrogate (Pa.)--Description and travel,
1875,1875,"Hartwick Seminary (Brooklyn, N.Y.)",
1328,1328,Health Promotion,
1329,1329,Health resorts,
1331,1331,Heat,
1330,1330|93,Heat--Early works to 1800,
1332,1332,"HelveÌtius, 1715-1771",
1334,1334,Hemp,
1333,1333,Hemp industry--United States,
1335,1335,"Henry VIII, King of England, 1491-1547",
1336,1336,"Heresies, Christian",
1337,1337,Hinduism,
7867,7867,Histoire navale ancienne--Ouvrages avant 1800,
1338,1338,Historians--New Hampshire--Biography,
1339,1339,Historical libraries--Massachusetts,
1340,1340,Historical linguistics,
1345,1345|1346|1347,History,
1344,1344,"History, Ancient",
1341,1341,History--Early works to 1800,
1342,1342,"History--Societies, etc",
1343,1343,History--Study and teaching--Early works to 1800,
1348,1348,"Hobart, John Henry, 1775-1830",
1349,1349,Hochschulschrift,
1350,1350,Holland Land Company,
1351,1351,Holy Spirit,
1352,1352,"Home economics--Outlines, syllabi, etc",
1353,1353,Home economics--Study and teaching,
1354,1354,Hope,
1357,1357|1358,Hospitals,
1355,1355,Hospitals--Pennsylvania,
1359,1359,"How, Thomas Y. (Thomas Yardley), 1776-1855",
1360,1360,"Howe, Richard Howe, Earl, 1726-1799",
1361,1361,"Howe, William Howe, Viscount, 1729-1814",
1362,1362,"Hughes, John, 1711-1772",
1365,1365,Huguenots,
1363,1363|1364,Huguenots--France,
1368,1368|1369,Human anatomy,
94,94,"Human anatomy, Early works to 1800",
1366,1366,Human anatomy--Atlases,
1367,1367,Human anatomy--Study and teaching--Poetry,
1370,1370,Human beings--Effect of environment on,
1372,1372,Human body,
1371,1371,Human body--Pictorial works--Early works to 1800,
1374,1374,Human figure in art,
1373,1373,Human figure in art--Early works to 1800,
7990,7990,Humanities literature--Early works to 1800,
1375,1375,Human rights--Early works to 1800,
1377,1377,Human skeleton,
1376,1376,Human skeleton--Atlases,
1378,1378,Human skin color--Early works to 1800,
1379,1379,Human skin color--Origin,
1380,1380,Humor,
1381,1381,Hunting,
1382,1382,Hygiene,
1383,1383,Hymnals,
1386,1386,Hymns,
1384,1384|1387,"Hymns, English--Early works to 1800",
1385,1385,"Hymns, German",
1388,1388,Hypnosis,
1389,1389,Hypnotism,
1391,1391,Illegible markings (Provenance),
1392,1392,Illinois Confederation--Land tenure--Early works to 1800,Illinois Indians--Land tenure--Early works to 1800
1394,1394,Illinois River,
1393,1393,Illinois River--Early works to 1800,
1395,1395,Immigrants,
1396,1396,Immortality--Early works to 1800,
1397,1397,Impeachments--Pennsylvania,
1398,1398,Impressment,
1399,1399,India--Description and travel,
1400,1400,Indigenous peoples of North America--Captivities,Indian captivities
1402,1402,Indigenous peoples of North America--Land transfers,Indian land transfers
1401,1401,Indigenous peoples of North America--Land transfers--West Virginia,Indian land transfers--West Virginia
1438,1438,Indigenous peoples,Indians
1434,1434|1435,Indigenous peoples of North America,Indians of North America
1405,1405,Indigenous peoples of North America--Commerce,Indians of North America--Commerce
1406,1406,Indigenous peoples of North America--Education--Early works to 1800,Indians of North America--Education--Early works to 1800
1407,1407,Indigenous peoples of North America--Education--Poetry--Early works to 1800,Indians of North America--Education--Poetry--Early works to 1800
1408,1408,Indigenous peoples of North America--Florida,Indians of North America--Florida
1409,1409,Indigenous peoples of North America--Georgia,Indians of North America--Georgia
1410,1410,Indigenous peoples of North America--Government relations,Indians of North America--Government relations
1411,1411,Indigenous peoples of North America--Gulf States,Indians of North America--Gulf States
1412,1412,Indigenous peoples of North America--Health and hygiene--Early works to 1800,Indians of North America--Health and hygiene--Early works to 1800
1413,1413,"Indigenous peoples of North America--History--Colonial period, ca. 1600-1775--Periodicals--Early works to 1800","Indians of North America--History--Colonial period, ca. 1600-1775--Periodicals--Early works to 1800"
1414,1414,Indigenous peoples of North America--Iroquois--Land transfers--Early works to 1800,Indians of North America--Iroquois--Land transfers--Early works to 1800
1415,1415,Indigenous peoples of North America--Land tenure--Cases--Early works to 1800,Indians of North America--Land tenure--Cases--Early works to 1800
1416,1416,Indigenous peoples of North America--Medicine--Early works to 1800,Indians of North America--Medicine--Early works to 1800
1417,1417,Indigenous peoples of North America--Missions,Indians of North America--Missions
1418,1418,Indigenous peoples of North America--Mississippi River Valley,Indians of North America--Mississippi River Valley
1419,1419,Indigenous peoples of North America--North Carolina,Indians of North America--North Carolina
1420,1420,Indigenous peoples of North America--Ohio,Indians of North America--Ohio
1422,1422|1423,Indigenous peoples of North America--Pennsylvania,Indians of North America--Pennsylvania
1421,1421,Indigenous peoples of North America--Pennsylvania--Treaties,Indians of North America--Pennsylvania--Treaties
1424,1424,Indigenous peoples of North America--Poetry,Indians of North America--Poetry
1425,1425,Indigenous peoples of North America--Social life and customs--Early works to 1800,Indians of North America--Social life and customs--Early works to 1800
1426,1426,Indigenous peoples of North America--South Carolina,Indians of North America--South Carolina
1427,1427,Indigenous peoples of North America--Southern States,Indians of North America--Southern States
1429,1429,Indigenous peoples of North America--Statistics,Indians of North America--Statistics
1428,1428,Indigenous peoples of North America--Statistics--Early works to 1800,Indians of North America--Statistics--Early works to 1800
1431,1431,Indigenous peoples of North America--Treaties,Indians of North America--Treaties
1430,1430,Indigenous peoples of North America--Treaties--Early works to 1800,Indians of North America--Treaties--Early works to 1800
1432,1432,Indigenous peoples of North America--Virginia,Indians of North America--Virginia
1433,1433,Indigenous peoples of North America--Wars--1790-1794,Indians of North America--Wars--1790-1794
1436,1436,Indigenous peoples of the United States--New York,Indians of the United States--New York
1437,1437,Indigenous peoples of the United States--Pennsylvania,Indians of the United States--Pennsylvania
1403,1403,Indigenous peoples--Origin,Indians--Origin
1404,1404,Indigenous peoples--Warfare,Indians--Warfare
1440,1440,Industrial arts,
1439,1439,Industrial arts--Dictionaries--French,
1441,1441,Industrie familiale--Angleterre--Ouvrages avant 1800,
1443,1443,Industries,
1442,1442,Industries--Massachusetts,
1444,1444|1445,Infant baptism,
1447,1447,Infantry drill and tactics,
1446,1446,Infantry drill and tactics--Early works to 1800,
1448,1448,Inflation (Finance)--France,
1449,1449,"Influence (Literary, artistic, etc.)",
1450,1450,Infrared spectra,
95,95,"Ingenhousz, Jan, 1730-1799",
1451,1451,Inheritance and succession--New Jersey,
1452,1452,Ink stamps (Provenance),
1455,1455,Inland navigation,
1453,1453,Inland navigation--Early works to 1800,
1454,1454,Inland navigation--Ireland,
1457,1457,Inquisition,
1456,1456,Inquisition--Spain--History--Sources,
1461,1461,Insects,
1458,1458,Insects--Dictionaries--French,
1459,1459,Insects--Early works to 1800,
1460,1460,Insects--Italy,
1462,1462,Installation sermons,
1463,1463,"Insurance, Life--Scotland",
1464,1464,Insurekcja kosciuszkowska (1794),
1465,1465,Insurgency--Early works to 1800,
1466,1466,Intaglio prints,
1468,1468,Internal revenue,
1467,1467,Internal revenue--Pennsylvania,
1469,1469,International relations--Early works to 1800,
1470,1470,International relations--Fiction,
1471,1471,International relations--History,
1472,1472,Invasions,
1473,1473,Ipswich (Mass.)--Church history,
1479,1479,Ireland,
1475,1475,Ireland--Antiquities,
1474,1474,Ireland--Antiquities--Early works to 1800,
1476,1476,"Ireland--History--The Union, 1800--Pamphlets",
1477,1477,Ireland--History--To 1172,
1478,1478,Ireland--Surveys,
96,96,"Iris (Eye), Physiology, Early works to 1800",
1483,1483,Irish language,
1480,1480,Irish language--Etymology,
1481,1481,Irish language--Grammar,
1482,1482,Irish language--To 1100--Dictionaries--English,
1484,1484,Irish unification question,
1485,1485,Haudenosaunee,Iroquoian Indians
1492,1492,Haudenosaunee,Iroquois Indians
1486,1486,Haudenosaunee--Early works to 1800,Iroquois Indians--Early works to 1800
1488,1488,Haudenosaunee--Land tenure,Iroquois Indians--Land tenure
1487,1487,Haudenosaunee--Land tenure--Early works to 1800,Iroquois Indians--Land tenure--Early works to 1800
1489,1489,Haudenosaunee--Land transfers,Iroquois Indians--Land transfers
1491,1491,Haudenosaunee--Treaties,Iroquois Indians--Treaties
1490,1490,Haudenosaunee--Treaties--1746,Iroquois Indians--Treaties--1746
1493,1493,"Jacobite Rebellion, 1745-1746--Early works to 1800",
1494,1494,"Jamaica--History--Maroon War, 1795-1796",
1495,1495,Jamaica--Politics and government,
1498,1498,"Jefferson, Thomas, 1743-1826",
1496,1496,"Jefferson, Thomas, 1743-1826--Inauguration, 1801",
1497,1497,"Jefferson, Thomas, 1743-1826--Portraits",
1499,1499,"Jenney, Robert, 1687?-1762",
1500,1500,Jesuits--South America,
1501,1501,Jesuits--Spain,
1502,1502,"Jesus Christ--Biography--Sources, Biblical",
1503,1503,Jews,
1505,1505,"John, the Apostle, Saint",
1506,1506,"Johnson, William, Sir, 1715-1774--Early works to 1800",
1504,1504,John the Baptist's Day--Vermont--Rutland,
1507,1507,"Jones, Cave, 1769-1829",
1509,1509,Judaism,
1508,1508,Judaism--History--Periodicals--Early works to 1800,
1510,1510,Jupiter (Planet),
1511,1511,Jupiter (Planète)--Satellites--Ouvrages avant 1800,
1513,1513,Jury,
1512,1512,Jury--Great Britain,
1516,1516,"Justice, Administration of",
1514,1514,"Justice, Administration of--France--Early works to 1800",
1515,1515,"Justice, Administration of--United States",
1517,1517,Justification (Christian theology),
1518,1518,Justifications (French Revolution),
1519,1519,"Kemp, James, 1764-1827",
1520,1520,Kentucky and Virginia resolutions of 1798,
1521,1521,Kerry (Ireland)--Antiquities,
1522,1522,"Kimball, David T. (David Tenney), 1782-1860",
1523,1523,King,
1525,1525,Kings and rulers,
1524,1524,Kings and rulers--Religious aspects--Early works to 1800,
1526,1526,"King’s College (New York, NY)",
1527,1527,"Knox, William, 1732-1810. Controversy between Great Britain and her colonies",
1528,1528,Krijgskunde,
1529,1529,"Kuhn, Adam, 1741-1817",
1530,1530,"Kunze, John C. (John Christopher), 1744-1807",
1531,1531,Kurorter,
1532,1532,"La Fayette, Adrienne de, 1759-1807",
1534,1534,"Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de, 1757-1834",
1535,1535,Laine--Industrie--Angleterre,
1536,1536,"Lake George, Battle of, N.Y., 1755",
1533,1533,"La Motte, Jeanne de Saint-Rémy de Valois, comtesse de, 1756-1791--Trials--litigation--etc",
1537,1537,Lancaster. Hamilton. 1808,
1538,1538,Land companies--Ohio,
1539,1539,Land companies--Pennsylvania,
1550,1550,Land grants,
1540,1540,Land grants--Georgia,
1541,1541,Land grants--Haiti,
1543,1543,Land grants--Illinois,
1542,1542,Land grants--Illinois--Early works to 1800,
1545,1545,Land grants--Ohio,
1544,1544,Land grants--Ohio River,
1546,1546,Land grants--Pennsylvania,
1547,1547,Land grants--United States--Early works to 1800,
1548,1548,Land grants--United States--Ohio Valley--Early works to 1800,
1549,1549,Land grants--West Virginia,
1551,1551,Land tenure--Early works to 1800,
1552,1552,Land tenure--Great Britain--Early works to 1800,
1553,1553,Land tenure--Law and legislation--Maryland--Early works to 1800,
1554,1554,Land tenure--New Jersey,
1555,1555,"Land titles--Northwest, Old",
1556,1556,Land titles--Registration and transfer--Pennsylvania--Bucks County,
1557,1557|1558,Language and languages,
1559,1559,Lapland,
1560,1560,Laryngite,
1561,1561|1562|1563,Laryngitis,
1564,1564,Last words,
1571,1571,Latin language,
1565,1565,Latin language--Conversation and phrase books--English,
1566,1566,Latin language--Dictionaries--French,
1568,1568,Latin language--Etymology,
1567,1567,Latin language--Etymology--Dictionaries,
1569,1569,Latin language--Grammar,
1570,1570,Latin language--Readers,
1572,1572,Latitude,
1573,1573,"Latrobe, Benjamin Henry,--1764-1820",
1584,1584|1585,Law,
1574,1574,Law--France,
1575,1575,Law--Ireland,
1576,1576,Law--New York (State)--Early works to 1800,
1577,1577,Law--Pennsylvania,
1581,1581,"Law reports, digests, etc",
1582,1582,"Law reports, digests, etc.--United States",
1583,1583,"Law reports, digests, etc.--Virginia",
1578,1578,Law--Study and teaching--United States,
1579,1579,Law--United States,
1580,1580,Law--Virginia--Bibliography,
1586,1586,Laxatives--Early works to 1800,
7994,7994,Lead--Early works to 1800,
1587,1587,Lead mines and mining--Missouri,
1590,1590,Learned institutions and societies,
1588,1588,Learned institutions and societies--Pennsylvania--Philadelphia,
1589,1589,Learned institutions and societies--United States,
1592,1592,Leather bindings (Bindidng),
1593,1593,Leather bindings (Binding),
1591,1591,Leather--Early works to 1800,
1594,1594,Lectures and lecturing--Early works to 1800,
1595,1595,Legislative power--Pennsylvania,
1596,1596,Lengua francesa,
1597,1597,Lengua griega,
1598,1598,Lengua latina,
1599,1599,"Lesser Antilles--West Indies, French",
1600,1600,"Lexington, Battle of, Lexington, Mass., 1775",
1604,1604,Libel and slander,
1601,1601,Libel and slander--Great Britain,
1602,1602,Libel and slander--Pennsylvania--Philadelphia,
1603,1603,Libel and slander--Sermons--Early works to 1800,
1606,1606,Liberty,
1605,1605,Liberty--Sermons--Early works to 1800,
1607,1607,Libraries,
1608,1608,Library copies (Provenance),
1609,1609,Libya--Tripoli,
1611,1611,Light,
1610,1610,Light--Experiments,
1613,1613,Lightning,
1612,1612,Lightning conductors,
1614,1614,"Lincoln, Perez, 1777-1811",
1615,1615,"Lisbon, Portugal--Earthquake, 1755--Sermons",
1616,1616,Literature--Anecdotes,
1617,1617,Literature--Philosophy,
1618,1618,"Literature--Societies, etc",
